,Germany,US,Japan,UK,France,Canada,Australia,Spain,Greece,Italy,Ireland,Sweden,Switzerland,SouthKorea,Poland,Portugal,Denmark,Netherlands,Norway,Austraia,Iceland,Israel,Hungary
Germany,1,0.906611294,0.72681535,0.954380948,0.97504875,0.946291866,0.898211859,0.037876034,-0.632042461,0.178188674,-0.044002168,0.973096438,0.982326535,0.898738196,0.708680235,-0.449562709,0.994370543,0.991710121,0.940875381,0.968078009,0.873783634,0.738185545,0.322310886
US,0.906611294,1,0.752447316,0.945519853,0.831406405,0.929795575,0.866348876,-0.186632738,-0.726224449,-0.068220094,-0.23798329,0.884265416,0.896908259,0.815437808,0.585656966,-0.582204899,0.886799063,0.868099983,0.843704046,0.813178571,0.81793857,0.594979313,0.089525381
Japan,0.72681535,0.752447316,1,0.760227344,0.702680264,0.589306875,0.778588159,-0.056736442,-0.470471235,0.08410106,-0.004413042,0.598535761,0.735060709,0.613263326,0.388598256,-0.34419525,0.702024084,0.715565163,0.511464701,0.708184497,0.583900319,0.341685657,0.413601157
UK,0.954380948,0.945519853,0.760227344,1,0.886882309,0.923410387,0.929226831,-0.184820423,-0.752863908,-0.047552441,-0.189864403,0.927122501,0.94712357,0.814285514,0.578514217,-0.595343059,0.946495584,0.926140058,0.866628312,0.878624209,0.835693201,0.664952317,0.191870931
France,0.97504875,0.831406405,0.702680264,0.886882309,1,0.89294623,0.849992362,0.207821332,-0.48079603,0.371387017,0.097374249,0.93794399,0.953178009,0.905597779,0.773064489,-0.273974409,0.972356447,0.987563276,0.923367872,0.993397255,0.83251304,0.710432703,0.447763807
Canada,0.946291866,0.929795575,0.589306875,0.923410387,0.89294623,1,0.816633368,-0.058788196,-0.670791708,0.05219422,-0.172956036,0.968181705,0.919796124,0.854133041,0.702127903,-0.514729827,0.940404361,0.919192592,0.942646025,0.875945782,0.846097469,0.778870199,0.140498072
Australia,0.898211859,0.866348876,0.778588159,0.929226831,0.849992362,0.816633368,1,-0.111995203,-0.641291599,0.007129157,0.018302102,0.850201413,0.884655001,0.798637245,0.532479203,-0.464443394,0.887021252,0.876008407,0.790917811,0.847644382,0.754799281,0.572923172,0.231587294
Spain,0.037876034,-0.186632738,-0.056736442,-0.184820423,0.207821332,-0.058788196,-0.111995203,1,0.65777615,0.910961139,0.679869358,0.019342587,-0.003815357,0.1010513,0.38762567,0.742398439,0.021876948,0.099240641,0.061717864,0.180620568,-0.131698323,0.042598096,0.383209517
Greece,-0.632042461,-0.726224449,-0.470471235,-0.752863908,-0.48079603,-0.670791708,-0.641291599,0.65777615,1,0.468023708,0.549851529,-0.629273408,-0.648680835,-0.511052748,-0.206048971,0.907107967,-0.626241939,-0.558835116,-0.597941229,-0.466628254,-0.697523021,-0.419946391,0.087183288
Italy,0.178188674,-0.068220094,0.08410106,-0.047552441,0.371387017,0.05219422,0.007129157,0.910961139,0.468023708,1,0.675175499,0.299720384,0.301406066,0.377551801,0.562514952,0.69827919,0.299818828,0.419631329,0.314514238,0.476770457,0.110116905,0.259299457,0.655208549
Ireland,-0.044002168,-0.23798329,-0.004413042,-0.189864403,0.097374249,-0.172956036,0.018302102,0.679869358,0.549851529,0.675175499,1,0.00399151,0.010062406,0.108161527,0.303292329,0.740551974,0.059533769,0.134603551,0.014153366,0.225097259,-0.151159919,0.016531279,0.487012589
Sweden,0.973096438,0.884265416,0.598535761,0.927122501,0.93794399,0.968181705,0.850201413,0.019342587,-0.629273408,0.299720384,0.00399151,1,0.963173282,0.883218863,0.745672609,-0.35843836,0.976065373,0.963699192,0.969214874,0.930515892,0.848792268,0.803386439,0.363838286
Switzerland,0.982326535,0.896908259,0.735060709,0.94712357,0.953178009,0.919796124,0.884655001,-0.003815357,-0.648680835,0.301406066,0.010062406,0.963173282,1,0.90134663,0.731279787,-0.378974982,0.982801106,0.978780622,0.932297769,0.951207944,0.879891308,0.694255261,0.431625747
SouthKorea,0.898738196,0.815437808,0.613263326,0.814285514,0.905597779,0.854133041,0.798637245,0.1010513,-0.511052748,0.377551801,0.108161527,0.883218863,0.90134663,1,0.801338467,-0.25566203,0.909748846,0.92246251,0.920712246,0.917333625,0.859308235,0.620401165,0.445458341
Poland,0.708680235,0.585656966,0.388598256,0.578514217,0.773064489,0.702127903,0.532479203,0.38762567,-0.206048971,0.562514952,0.303292329,0.745672609,0.731279787,0.801338467,1,0.036639917,0.75108982,0.779525053,0.782622178,0.801871545,0.613780154,0.470845185,0.570791531
Portugal,-0.449562709,-0.582204899,-0.34419525,-0.595343059,-0.273974409,-0.514729827,-0.464443394,0.742398439,0.907107967,0.69827919,0.740551974,-0.35843836,-0.378974982,-0.25566203,0.036639917,1,-0.371128444,-0.259360216,-0.340839424,-0.188434466,-0.508866845,-0.229504644,0.29145899
Denmark,0.994370543,0.886799063,0.702024084,0.946495584,0.972356447,0.940404361,0.887021252,0.021876948,-0.626241939,0.299818828,0.059533769,0.976065373,0.982801106,0.909748846,0.75108982,-0.371128444,1,0.99222702,0.950634527,0.971513161,0.866748481,0.762765328,0.441941148
Netherlands,0.991710121,0.868099983,0.715565163,0.926140058,0.987563276,0.919192592,0.876008407,0.099240641,-0.558835116,0.419631329,0.134603551,0.963699192,0.978780622,0.92246251,0.779525053,-0.259360216,0.99222702,1,0.942488058,0.988938075,0.852304421,0.744507099,0.525069737
Norway,0.940875381,0.843704046,0.511464701,0.866628312,0.923367872,0.942646025,0.790917811,0.061717864,-0.597941229,0.314514238,0.014153366,0.969214874,0.932297769,0.920712246,0.782622178,-0.340839424,0.950634527,0.942488058,1,0.917123383,0.893631088,0.757957562,0.322365034
Austraia,0.968078009,0.813178571,0.708184497,0.878624209,0.993397255,0.875945782,0.847644382,0.180620568,-0.466628254,0.476770457,0.225097259,0.930515892,0.951207944,0.917333625,0.801871545,-0.188434466,0.971513161,0.988938075,0.917123383,1,0.817461984,0.724981081,0.591842294
Iceland,0.873783634,0.81793857,0.583900319,0.835693201,0.83251304,0.846097469,0.754799281,-0.131698323,-0.697523021,0.110116905,-0.151159919,0.848792268,0.879891308,0.859308235,0.613780154,-0.508866845,0.866748481,0.852304421,0.893631088,0.817461984,1,0.593033548,0.247312752
Israel,0.738185545,0.594979313,0.341685657,0.664952317,0.710432703,0.778870199,0.572923172,0.042598096,-0.419946391,0.259299457,0.016531279,0.803386439,0.694255261,0.620401165,0.470845185,-0.229504644,0.762765328,0.744507099,0.757957562,0.724981081,0.593033548,1,0.286043899
Hungary,0.322310886,0.089525381,0.413601157,0.191870931,0.447763807,0.140498072,0.231587294,0.383209517,0.087183288,0.655208549,0.487012589,0.363838286,0.431625747,0.445458341,0.570791531,0.29145899,0.441941148,0.525069737,0.322365034,0.591842294,0.247312752,0.286043899,1